year,sheets_needed,revised
1769,4009,4009
1770,334916.1875,520169.22272718983
1771,695209.4583333334,1274288.4095933305
1772,291800.44444444444,339192.25142913644
1773,956832.8125,1674279.967718379
1774,181678.45833333334,314238.12486794085
1775,652102.5,706876.9454774564
1776,246498.16666666666,262877.0765270694
1777,565329.6011904762,696332.4424735374
1778,834226.8564814815,911057.2037079486
1779,1364252.6875,1623276.9309252726
1780,545645.7916666666,684004.3383361321
1781,417503.75,488408.66146760265
1782,1926381.775,2389290.307273179
1783,625646.0861111111,1348685.354956055
1784,168408.5,192185.35180246065
1785,44649.5,75253.24936061382
1786,27257.5,50106.13661202186
1787,140123.83333333334,185562.69009647568
1788,180,508.5
1789,50305.5,50305.5
