edition_code,full_book_title,rank,sheets_transacted,proportion
encyclopedie,NA,1,2864250,21.6%
bk0000994,"Sainte Bible (la), qui contient le Vieux et le Nouveau Testament",2,1166562,8.8%
bk0002616,Tableau de Paris,3,798225,6.0%
bk0002581,"Sainte Bible (la), qui contient le Vieux et le Nouveau Testament",4,619038,4.7%
bk0002529,Questions sur l'Encyclopédie,5,535000,4.0%
bk0002666,"Voyage au Pôle austral et autour du monde, fait sur les vaisseaux de roi l'Aventure & la Résolution en 1772, 1773, 1774 & 1775",6,470316,3.6%
bk0002470,Oeuvres complètes,7,430768,3.3%
bk0003702,Dictionnaire raisonné universel d'histoire naturelle,8,308250,2.3%
bk0001961,"Bibliothèque philosophique du législateur, du politique, du jurisconsulte ou Choix des meilleurs discours, dissertations, essais, fragmens, composés sur la législation criminelle par les plus célèbres écrivains, en françois, anglois, italien, allemand, espagnol, &c. pour parvenir à la réforme des loix pénales dans tous les pays",9,280403.5,2.1%
bk0003043,Oeuvres,10,243257,1.8%
